"train","test","r2","mae","rmse"
"2017-06-072017_early","2017-06-302017_early",0.0171584759664157,42.2485984790875,44.1731687310839
"2017-06-072017_early","2017-07-032017_early",0.00944281791006975,52.1574424242424,55.1059910760521
"2017-06-072017_early","2017-07-052017_early",0.0110745608663206,59.0019963383838,63.2651027543687
"2017-06-072017_early","2017-07-072017_early",0.0139441506281984,66.3027797979798,71.1868323738987
"2017-06-072017_early","2017-07-102017_early",0.000860251826246698,85.2162172979798,87.3628678470864
"2017-06-072017_early","2017-06-092017_early",0.0434124888345475,0.446809974747475,0.966052669866083
"2017-06-072017_early","2017-06-122017_early",0.000826877233534533,0.847384722222222,3.14665571801604
"2017-06-072017_early","2017-06-142017_early",0.00160638966218158,1.45254242424242,1.55696349178376
"2017-06-072017_early","2017-06-162017_early",0.0130739659893263,3.55834671717172,6.37993974259354
"2017-06-072017_early","2017-06-192017_early",0.0237747726782389,8.61648005050505,12.3061479715579
"2017-06-072017_early","2017-06-212017_early",0.0566842038757113,18.5277494949495,20.6952950110499
"2017-06-072017_early","2017-06-232017_early",0.0751576750245264,24.7355136363636,27.2363891744035
"2017-06-072017_early","2017-06-262017_early",0.00157946325428255,28.2671397727273,30.6743849527344
"2017-06-302017_early","2017-07-032017_early",0.0268294285448455,17.0537973484848,20.6110200788909
"2017-06-302017_early","2017-07-052017_early",0.0388836962805124,24.1416407828283,27.0223569923232
"2017-06-302017_early","2017-07-072017_early",0.0301543198007757,31.9919539141414,35.7959794753465
"2017-06-302017_early","2017-07-102017_early",0.000152964054987996,39.8811654040404,41.4350580863794
"2017-06-302017_early","2017-06-092017_early",0.041335918458922,36.1708617424242,36.4416316040368
"2017-06-302017_early","2017-06-122017_early",4.38112856155932e-06,39.0047922979798,39.3119548232835
"2017-06-302017_early","2017-06-142017_early",0.0118446818490226,40.0788301767677,40.2779428617546
"2017-06-302017_early","2017-06-162017_early",0.0252932284238365,38.4003573232323,38.9387080844821
"2017-06-302017_early","2017-06-192017_early",0.00161644196506941,35.0578598484848,36.136156035411
"2017-06-302017_early","2017-06-212017_early",0.0388966387964469,23.4061363636364,25.1743705830208
"2017-06-302017_early","2017-06-232017_early",0.0188844441771145,15.1320157828283,18.0875808626022
"2017-06-302017_early","2017-06-262017_early",0.00791641459796945,17.7515441919192,21.1704850226656
"2017-07-032017_early","2017-07-052017_early",0.00655595366283391,22.4774583333333,25.4535892763855
"2017-07-032017_early","2017-07-072017_early",8.02605436082859e-05,28.9924772727273,32.649513858857
"2017-07-032017_early","2017-07-102017_early",0.0159491826867188,42.6082474747475,44.6320308650984
"2017-07-032017_early","2017-06-092017_early",0.000118911232233006,40.2745580808081,40.3726151685518
"2017-07-032017_early","2017-06-122017_early",0.0249411574315986,39.8583156565657,40.0641079119701
"2017-07-032017_early","2017-06-142017_early",0.00457003179472425,40.2062537878788,40.4523053490895
"2017-07-032017_early","2017-06-162017_early",0.0252874438648933,39.3417424242424,39.9302936091083
"2017-07-032017_early","2017-06-192017_early",0.00195148123715857,37.0643901515151,38.3125100029263
"2017-07-032017_early","2017-06-212017_early",0.00850695906808448,24.2579154040404,26.1720607404204
"2017-07-032017_early","2017-06-232017_early",0.109147105041509,18.7942714646465,21.320949851621
"2017-07-032017_early","2017-06-262017_early",0.00854266107108811,16.0469343434343,18.8853520392962
"2017-07-052017_early","2017-07-072017_early",0.0190128019468633,28.6996773989899,32.2894903074537
"2017-07-052017_early","2017-07-102017_early",0.00678863759144406,25.4764839646465,28.248917559399
"2017-07-052017_early","2017-06-092017_early",0.0254553652554586,37.4917599747475,37.7736189785118
"2017-07-052017_early","2017-06-122017_early",0.000175356834442637,38.6474012626263,39.1308601035182
"2017-07-052017_early","2017-06-142017_early",0.00255923983025912,42.3301113636364,42.8284084465175
"2017-07-052017_early","2017-06-162017_early",0.0491986158522701,49.5943372474747,50.5118337723908
"2017-07-052017_early","2017-06-192017_early",0.000847630768386281,43.9055958333333,45.132291506821
"2017-07-052017_early","2017-06-212017_early",0.0843972039467801,33.1686367424242,34.7474880186034
"2017-07-052017_early","2017-06-232017_early",0.0140161696647069,24.0160630050505,27.2150921146817
"2017-07-052017_early","2017-06-262017_early",0.0110955365886797,23.0881683080808,26.6463797377277
"2017-07-072017_early","2017-07-102017_early",0.00919763848381853,15.761172979798,20.5892290316143
"2017-07-072017_early","2017-06-092017_early",0.0407515854184438,48.4325412878788,49.2070448166727
"2017-07-072017_early","2017-06-122017_early",0.00161449800508515,54.7235441919192,55.5371138697585
