"","test_environment","train_environment","simple_rsquared","simple_rsquared_pvalue","simple_correlation","partial_rsquared","partial_rsquared_pvalue","partial_correlation"
"1","2017_early","2017_late",0.629017925523905,0,0.793106503266683,0.0450212880881222,9.9332961306766e-29,0.212182204928034
"2","2017_early","2018",0.483718194683326,0,0.69549852241635,0.016142836022814,1.28407356694392e-07,0.127054460853659
"3","2017_late","2017_early",0.340965592621404,1.4e-192,0.583922591292205,0.0687885607778,3.13620001903711e-28,0.262275734252713
"4","2017_late","2018",0.239365881793447,4.6e-127,0.489250326308983,0.0143746666765794,0.000188937344855182,0.119894398020005
"5","2018","2017_early",0.195988885016646,4e-70,0.442706319151474,0.132497924589045,5.5214736695375e-42,0.36400264365667
"6","2018","2017_late",0.167147178630888,4.3e-59,0.408836371462824,0.0946067765251675,6.18415746844383e-29,0.307582145979196
